Boro-Block-Lot;Address;Neighborhood;BuildingClassification;TotalUnits;YearBuilt;AreaSqFt;GrossIncomePerSqFt;ExpensePerSqFt;NetOperatingIncomePerSqFt;FullMarketValue;MarketValuePerSqFt
1-00274-7502;148 MADISON STREET;LOWER EAST SIDE;R4-CONDOMINIUM;80;2002;548.125;40.74;13.07;-17184.82992;9166000;209.03
1-00274-7503;44 MARKET STREET;LOWER EAST SIDE;R4-CONDOMINIUM;16;2004;609;38.56;14.2;-15644.59024;1795999;184.32
1-00276-7501;102 MADISON STREET;LOWER EAST SIDE;R4-CONDOMINIUM;12;1991;475;37.99;12.58;-20285.63371;1096000;192.28
1-00276-7502;11 MONROE STREET;LOWER EAST SIDE;R4-CONDOMINIUM;10;2004;665.6;36.38;12.3;-14639.11744;1182000;177.58
1-00277-7501;60 HENRY STREET;CHINATOWN;R4-CONDOMINIUM;74;1989;637.3108108;33.56;11.95;-15458.57525;7567998;160.47
1-00277-7502;46 HENRY STREET;CHINATOWN;R4-CONDOMINIUM;32;1991;806.40625;30.71;11.54;-12351.14147;3696998;143.27
1-00277-7503;95 MADISON STREET;CHINATOWN;R2-CONDOMINIUM;20;1900;567.9;20.06;9.2;-17728.75196;882000;77.65
1-00283-7502;135 DIVISION STREET;LOWER EAST SIDE;R4-CONDOMINIUM;28;1988;711.5714286;27.65;10.8;-14301.13462;2419000;121.41
1-00284-7501;155 HENRY STREET;LOWER EAST SIDE;R4-CONDOMINIUM;24;1907;901.875;26.35;11.15;-11403.3534;2379998;109.96
1-00284-7502;165 HENRY STREET;LOWER EAST SIDE;R4-CONDOMINIUM;30;1928;707.4333333;25.82;10.7;-14690.45833;2324996;109.55
1-00284-7503;173 EAST BROADWAY;LOWER EAST SIDE;R4-CONDOMINIUM;29;1912;1507.689655;28.68;12.5;-6964.722765;5313001;121.52
1-00292-7501;1 ELDRIDGE STREET;CHINATOWN;R4-CONDOMINIUM;8;1988;528.375;27.25;10.7;-20078.09041;505001;119.47
1-00293-7501;18 ELDRIDGE STREET;CHINATOWN;R4-CONDOMINIUM;10;2007;716.9;38.36;12.82;-14948.92115;1386004;193.33
1-00297-7501;26 LUDLOW STREET;LOWER EAST SIDE;R4-CONDOMINIUM;10;1900;679.1;21.68;8;-15940.21813;673204;99.13
1-00297-7502;48 HESTER STREET;LOWER EAST SIDE;R4-CONDOMINIUM;35;1990;674.4;30.71;11.3;-16211.62913;3423996;145.06
1-00297-7503;7 ESSEX STREET;LOWER EAST SIDE;R4-CONDOMINIUM;16;2002;1962.875;36.38;12.82;-5625.03636;5454002;173.66
1-00298-7501;51 CANAL STREET;LOWER EAST SIDE;R4-CONDOMINIUM;41;1941;629.1463415;29.11;10.84;-17721.41562;3536997;137.12
